F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Target
0.234116092,0.410982896,0.386657491,0.30968939,0.35410616,0.351874204,0.442334946,0.471883728,0.596855726,0.56053164,0.535371358,0.182897372,0.245107424,0.180919382,0.125864288,0.359279473,0.141327401,0.621622903,0.658130143,0.462343739,1
0.234116092,0.410982896,0.386657491,0.30968939,0.35410616,0.535371358,0.182897372,0.245107424,0.180919382,0.125864288,0.351874204,0.442334946,0.471883728,0.596855726,0.56053164,0.359279473,0.141327401,0.621622903,0.658130143,0.462343739,1
0.234116092,0.30968939,0.35410616,0.410982896,0.386657491,0.351874204,0.596855726,0.56053164,0.442334946,0.471883728,0.535371358,0.180919382,0.125864288,0.182897372,0.245107424,0.359279473,0.141327401,0.621622903,0.658130143,0.462343739,1
0.190088982,0.406328274,0.397340956,0.332622587,0.328706911,0.310897452,0.408405259,0.518550832,0.634709403,0.561000191,0.488283363,0.197660918,0.219601764,0.185633784,0.108188541,0.352534614,0.149531912,0.612682933,0.652822859,0.495626449,1
0.276465727,0.487012878,0.398609519,0.33303223,0.280701352,0.415189702,0.494474201,0.534829459,0.594175775,0.546174655,0.553523767,0.208341425,0.227101896,0.152404268,0.179337027,0.378758259,0.146374182,0.622940453,0.665652771,0.54766965,1
0.426584349,0.415330596,0.557515121,0.463506801,0.54613255,0.368348033,0.378447902,0.519396756,0.560546279,0.490141012,0.180686114,0.245112743,0.219340742,0.124107147,0.374064585,0.391284049,0.136903724,0.622293246,0.657097816,0.445656689,1
0.382557239,0.410675974,0.568198585,0.486439997,0.520733302,0.327371281,0.344518216,0.566063859,0.598399956,0.490609563,0.133598119,0.25987629,0.193835082,0.128821548,0.356388838,0.38453919,0.150382428,0.613340907,0.651802902,0.47418857,1
0.468933984,0.491360578,0.569467148,0.48684964,0.472727742,0.431663531,0.430587158,0.582342487,0.557866328,0.475784028,0.198838524,0.270556796,0.201335214,0.095592032,0.427537324,0.410762834,0.143498199,0.623263118,0.664968122,0.550868729,1
0.14174742,0.389752353,0.393359464,0.320796582,0.368201955,0.320823319,0.410737531,0.42728226,0.654404006,0.576685861,0.493525573,0.182877064,0.256989561,0.189902723,0.120963569,0.349869949,0.150076406,0.620368955,0.644650928,0.463325908,1
0.218364659,0.393820847,0.392345009,0.318063241,0.365743971,0.336098386,0.421718761,0.439805791,0.642748794,0.576311789,0.499057059,0.180315349,0.246529198,0.186739876,0.122144718,0.355987163,0.144310119,0.623517603,0.66198359,0.471813194,1
