TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
0,-1,1,139.784,-698.9803,-0.113,0.113,15.795592,-78.9847739,-0.010790705,5.894612272,0.010790705,-13.28321088,4.31894878,3.637595711,0.681353069,0,-1,1,0.157366732,0.232055134
33.20999999,-1,1,35.9446,-576.4326,-0.113,0.113,4.0617398,-65.1368838,-0.010790705,0.875467663,0.010790705,-1.823662616,4.31894878,57.11275095,52.79380217,90,256,1,0.409317666,0.474677966
66.51899999,-1,1,-10.0695,-438.7813,-0.113,0.113,-1.1378535,-49.5822869,-0.010790705,0.410959034,0.010790705,-0.434508847,4.31894878,26.48676729,22.16781851,180,512,1,0.380895072,0.098819551
116.48675,-1,1,86.1944,-386.5113,-0.113,0.113,9.7399672,-43.6757769,-0.010790705,1.382601768,0.010790705,0.093213572,4.31894878,27.50410905,23.18516027,270,256,1,0.621959815,0.024697768
149.30141,-1,1,86.1944,-386.5113,-0.113,0.113,9.7399672,-43.6757769,-0.010790705,5.268384405,0.010790705,-10.03601129,4.31894878,0.99664518,3.3223036,360,-1,1,0.442892551,0.049836859
182.09117,-1,1,-12.4447,-420.6958,-0.113,0.113,-1.4062511,-47.5386254,-0.010790705,0.386979592,0.010790705,-0.251919879,4.31894878,16.68386948,12.3649207,450,-256,1,0.368773713,0.087628184
215.91777,-1,1,-11.9323,-429.4888,-0.113,0.113,-1.3483499,-48.5322344,-0.010790705,4.310691996,0.010790705,-10.53251993,4.31894878,0.359976598,3.958972182,540,-512,1,0.325620093,0.058308352
248.92515,-1,1,-11.9323,-429.4888,-0.113,0.113,-1.3483499,-48.5322344,-0.010790705,4.367840079,0.010790705,-10.72879402,4.31894878,0.357426077,3.961522703,630,-256,1,0.568376937,0.062306695
281.98301,-1,1,80.3932,-355.5547,-0.113,0.113,9.0844316,-40.1776811,-0.010790705,5.224993737,0.010790705,-10.01533082,4.31894878,1.046185349,3.272763431,720,-1,1,0.273497665,0.092826442
299.685,-1,1,80.3932,-355.5547,-0.113,0.113,9.0844316,-40.1776811,-0.010790705,5.224993737,0.010790705,-10.01533082,4.31894878,1.046185349,3.272763431,810,-1,256,0.283858072,0.073534796
321.891,-1,1,80.3932,-355.5547,-0.113,0.113,9.0844316,-40.1776811,-0.010790705,4.499943751,0.010790705,-10.53337462,4.31894878,1.916082232,2.402866548,900,256,256,0.455632186,0.05480336
355.159,-1,1,67.297,-281.0348,-0.113,0.113,7.604561,-31.7569324,-0.010790705,4.561060406,0.010790705,-10.46132818,4.31894878,2.643498783,1.675449997,990,512,256,0.666330537,0.053290989
401.785,-1,1,61.927,-278.6157,-0.113,0.113,6.997751,-31.4835741,-0.010790705,4.62314404,0.010790705,-10.96735028,4.31894878,2.516374405,1.802574375,1080,256,256,0.861156697,0.052342266
435.094,-1,1,19.6576,-206.5316,-0.113,0.113,2.2213088,-23.3380708,-0.010790705,5.108585821,0.010790705,-9.719495332,4.31894878,1.948058007,2.370890773,1170,-1,256,0.65530433,0.061918311
484.15183,-1,1,14.4757,-191.1795,-0.113,0.113,1.6357541,-21.6032835,-0.010790705,5.104791637,0.010790705,-9.600524247,4.31894878,2.085324463,2.233624318,1260,-256,256,0.565519531,0.046772048
